"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Unisex 7 steps IE T-Shirt Chinese","Isha Life","Clothing - Unisex T-Shirts",5,50,-9.38,0,40.62,0,40.62
"Wealthier Millet Diet Book","A.P. Exports","Books - English",8,45,0,-5,40,0,40
"Copper Earring - Style 4","Isha Life SG","Jewellery - Earrings",4,40,0,0,40,0,40
"Joy 24x7","Isha Life SG","Books - English",4,40,0,0,40,0,40
"Melange Unisex Cotton That Which is Not Printed T-shirt - Olive","A.P. Exports","Clothing - Unisex T-Shirts",2,35,0,0,35,0,35
"Indian Experience Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",1,70,0,-35,35,0,35
"Unisex Cotton Hatha Yoga Printed T-shirt - Ecru","A.P. Exports","Clothing - Unisex T-Shirts",2,35,0,0,35,0,35
"Copper Earring - Style 3","Isha Life SG","Jewellery - Earrings",3,30,0,0,30,0,30
"Surya Namaskar Mug","Isha Life SG","Yoga Store - Mugs",3,30,0,0,30,0,30
"Handmade Neem Wood Comb (Wider teeth)","Isha Life SG","Body Care - Neem Comb",4,28,0,0,28,0,28
"Bloom Extra Nourishment & Protection Organic Hair Conditioner With Bamboo & Cucumber Extract (All Hair Types) - 100ml","Isha Life SG","Bloom Hair Care",2,24,0,0,24,0,24
"Don't Polish Your Ignorance, It May Shine","Isha Life SG","Books - English",2,36,0,-12,24,0,24
"Midnights with the Mystic","Isha Life","Books - English",2,24,0,0,24,0,24
"Encounter the Enlightened","Isha Life","Books - English",2,33,0,-11,22,0,22
"Flowers on the Path","Isha Life","Books - English",3,21,0,0,21,0,21
"Choker - Copper Style 2","Isha Life SG","Jewellery - Necklaces",2,20,0,0,20,0,20
"Gel Magnets Design 2 - Sadhguru Quote 2","Isha Life SG","Home Decor - Fridge Magnets",2,20,0,0,20,0,20
"Pancha Bhuta Yoga Mat Cover","A.P. Exports","Yoga Store - Yoga Mat Covers",2,20,0,0,20,0,20
"Linga Bhairavi with Bangles Photo Black (6x4)","Isha Life","Linga Bhairavi",3,18,0,0,18,0,18
"Unisex White Adiyogi Printed Full Sleeve T-Shirt","Isha Life SG","Clothing - Unisex T-Shirts",1,35,0,-17.5,17.5,0,17.5
"Bloom Refreshing & Age Defence Shower Gel With Acai Berry Fruit Extract (All Skin Types) - 200ml","Isha Life SG","Bloom Skin Care",1,35,0,-17.5,17.5,0,17.5
"Bloom Cell Renewal Organic Face Wash With Apple & Papaya Extract (All Skin Types) - 100ml","Isha Life SG","Bloom Skin Care",1,17.5,0,0,17.5,0,17.5
"Unisex Nandi Printed Organic Cotton T-Shirt - Off White","Isha Life","Clothing - Unisex T-Shirts",1,15,0,0,15,0,15
"Sukku Banam Coffee (Caffeine-free), 75 gm","Isha Life SG","Beverages",3,15,0,0,15,0,15
"Mystic Moon Copper Cuff Bracelet. A festive gift.","Isha Life SG","Copper - Bracelet",1,14,0,0,14,0,14
"Bloom 24 Hours Skin Hydrating Organic Lotion With Mulberry Extract (Oily Skin) - 100ml","Isha Life SG","Bloom Skin Care",1,25,0,-12.5,12.5,0,12.5
"Linga Bhairavi with Bangles Photo Black (8x12)","Isha Life","Photos",1,12,0,0,12,0,12
"Of Mystics and Mistakes","A.P. Exports","Books - English",1,24,0,-12,12,0,12
"Indian Experience Towel - Small","Isha Life SG","Clothing - Towels",2,10,0,0,10,0,10
"Gel Magnets Design 1 - Sadhguru Quote 1","Isha Life","Home Decor - Fridge Magnets",1,10,0,0,10,0,10
"Copper Earring - Style 2","Isha Life SG","Jewellery - Earrings",1,10,0,0,10,0,10
"Mystic Moon Key Chain","Isha Life SG","Home Decor - Key Chains",2,10,0,0,10,0,10
"Adiyogi Fridge Magnet","Isha Life SG","Home Decor - Fridge Magnets",2,10,0,0,10,0,10
"Natural Homam (Havan) Incense, 5 Sticks","A.P. Exports","Home Decor - Incense Sticks",2,8,0,0,8,0,8
"Thayir Sundi Capsule (Gastric Relief), 20 pcs","A.P. Exports","Health - Digestive",2,28,0,-20,8,0,8
"Luggage Tag - Surya Namaskar","Isha Life SG","Home Decor - Luggage Tags",1,7,0,0,7,0,7
"Luggage Tag - Yoga","Isha Life SG","Home Decor - Luggage Tags",1,7,0,0,7,0,7
"Coco shell mobile holder","A.P. Exports","Accessories - Bags",1,5,0,0,5,0,5
"Printed Organic Cotton Bag (Play)","Isha Life SG","Yoga Store - Bags",1,4,0,0,4,0,4
"Adiyogi Key Chain","A.P. Exports","Home Decor - Key Chains",1,3,0,0,3,0,3
"Aum Namah Shivaya Magnet","A.P. Exports","Home Decor - Fridge Magnets",1,3,0,0,3,0,3
"Thaai Mann - Consecrated Bhoomi for Sadhana Support","Isha Life SG","Consecrated - Dhyanalinga",-4,0,0,-20,-20,0,-20
"Samyama Mens Organic Cotton Sadhana Kurta - White","Isha Life SG","Clothing - Men's Kurtas",-4,142.26,0,-243.55,-101.29,0,-101.29
