Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
24-hours-skin-hydrating-organic-body-lotion-with-hibiscus-extract-normal-to-dry-skin-100ml,Bloom 24 Hours Skin Hydrating Organic Body Lotion With Hibiscus Extract (Normal to Dry Skin) - 100ml,Title,Default Title,,,,,0116070,,,Isha Yoga Center SG,,0,0,0,0,0,
24-hours-skin-hydrating-organic-body-lotion-with-jojoba-olive-extract-extra-dry-skin-100ml,Bloom 24 Hours Skin Hydrating Organic Body Lotion With Jojoba & Olive Extract (Extra Dry Skin) - 100ml,Title,Default Title,,,,,0116071,,,Isha Yoga Center SG,,0,0,0,0,0,
skip-to-the-end-of-the-images-gallery-skip-to-the-beginning-of-the-images-gallery-adiyogi-rudraksha-with-copper-chain-consecrated-isha-panchamukhi-five-faced-rudraksha-bead,Adiyogi Rudraksha with copper chain. Consecrated Isha Panchamukhi (five faced) Rudraksha bead.,Title,Default Title,,,,,RS0000100000,,,Isha Yoga Center SG,,0,0,0,10,10,
avighna-yantra-sutra,Avighna Yantra Sutra,Title,Default Title,,,,,0111309,,,Isha Yoga Center SG,,0,0,0,2,2,
adiyogi-chant-box-night-lamp-regular,Adiyogi Chant Box & Night Lamp - Regular,Title,Default Title,,,,,TC0008700400,,,Isha Yoga Center SG,,0,0,0,5,5,
adiyogi-copper-diffuser-big,Adiyogi Copper Diffuser - Big,Title,Default Title,,,,,ATAS04CDLG01,,,Isha Yoga Center SG,,0,0,0,0,0,
aum-namah-shivaya-adjustable-hammered-copper-cuff,Aum Namah Shivaya Adjustable Hammered Copper Cuff,Title,Default Title,,,,,CA0120500000,,,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-miniature-2-car-stand-black-metal,"Adiyogi miniature 2"" car stand - Black (Metal)",Title,Default Title,,,,,ME0037600000,,,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-statue-metal-4-inch-antique-nickel,Adiyogi Statue Metal - 4 inch - Antique Nickel,Title,Default Title,,,,,TC0007517700,,,Isha Yoga Center SG,,0,0,0,2,2,
adiyogi-statue-metal-4-inch-antique-oxidised,Adiyogi Statue Metal - 4 inch - Oxidised Bronze,Title,Default Title,,,,,TC0007517800,,,Isha Yoga Center SG,,0,0,0,0,0,
adiyogi-statue-metal-4-inch-antique-brass,Adiyogi Statue Metal - 4 inch - Antique Brass,Title,Default Title,,,,,TC0007517900,,,Isha Yoga Center SG,,0,0,0,2,2,
adiyogi-copper-drinkware-set,Adiyogi Copper Drinkware Set,Title,Default Title,,,,,YS0014200000,,,Isha Yoga Center SG,,0,0,0,0,0,
