"Product title","Product variant title","Product variant SKU","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Surya Namaskar Mug","Default Title","0106501",3,30,0,0,30,0,30
"Unisex Save Soil Logo Short Sleeve Organic Cotton Navy Blue T-Shirt","S","0401208 S",2,30,0,0,30,0,30
"Unisex Save Soil Logo Short Sleeve Organic Cotton Navy Blue T-Shirt","M","0401208 M",2,30,0,0,30,0,30
"Unisex Save Soil Print Short Sleeve Organic Cotton Olive Green T-Shirt","S","CA0078100200",2,30,0,0,30,0,30
"Handmade Neem Wood Comb (Wider teeth)","Default Title","0106736",4,28,0,0,28,0,28
"Unisex 7 steps IE T-Shirt Chinese","M","CA0141100300",3,30,-4.69,0,25.31,0,25.31
"Men's Black Hemp Kurta","S","0201001BlackS",1,24.5,0,0,24.5,0,24.5
"Men's White Hemp Kurta","40 / White","0201001WhiteM",1,24.5,0,0,24.5,0,24.5
"Men's Black Hemp Kurta","XL","0201001BlackXL",1,24.5,0,0,24.5,0,24.5
"Men's Beige Hemp Kurta","44 / Beige","0201001BeigeXL",1,24.5,0,0,24.5,0,24.5
"Men's Black Hemp Kurta","Medium","0201001BlackM",1,24.5,0,0,24.5,0,24.5
"Men's Beige Hemp Kurta","42 / Beige","0201001BeigeL",1,24.5,0,0,24.5,0,24.5
"Women Organic Cotton Embroidered Aum Kurta - Coral","S","0202530S",1,24.5,0,0,24.5,0,24.5
"Men's White Hemp Kurta","42 / White","0201001WhiteL",1,24.5,0,0,24.5,0,24.5
"Midnights with the Mystic","Default Title","9788184951660",2,24,0,0,24,0,24
"Bloom Extra Nourishment & Protection Organic Hair Conditioner With Bamboo & Cucumber Extract (All Hair Types) - 100ml","Default Title","0116054",2,24,0,0,24,0,24
"Don't Polish Your Ignorance, It May Shine","Default Title","9788184952001",2,36,0,-12,24,0,24
"Samyama Womens Organic Cotton Sadhana Kurta - White","Medium","0202535M",1,23.71,0,0,23.71,0,23.71
"Encounter the Enlightened","Default Title","9788186685600",2,33,0,-11,22,0,22
"Flowers on the Path","Default Title","9788187910053",3,21,0,0,21,0,21
"Pancha Bhuta Yoga Mat Cover","Default Title","0402064",2,20,0,0,20,0,20
"Choker - Copper Style 2","Default Title","0113507",2,20,0,0,20,0,20
"Gel Magnets Design 2 - Sadhguru Quote 2","Default Title","0106511",2,20,0,0,20,0,20
"Linga Bhairavi with Bangles Photo Black (6x4)","Default Title","0111316",3,18,0,0,18,0,18
"Unisex Cotton Ultimate Outlaw Printed T-shirt - Peach","S","0401149S",1,17.5,0,0,17.5,0,17.5
"Bloom Cell Renewal Organic Face Wash With Apple & Papaya Extract (All Skin Types) - 100ml","Default Title","0116062",1,17.5,0,0,17.5,0,17.5
"Unisex Black Adiyogi Printed Full Sleeve T-Shirt","S","0401177S",1,17.5,0,0,17.5,0,17.5
"Unisex White Adiyogi Printed Full Sleeve T-Shirt","L","0401175L",1,35,0,-17.5,17.5,0,17.5
"Unisex Black Adiyogi Printed Full Sleeve T-Shirt","M","0401177M",1,17.5,0,0,17.5,0,17.5
"Melange Unisex Cotton That Which is Not Printed T-shirt - Olive","XL","0401148XL",1,17.5,0,0,17.5,0,17.5
"Unisex Cotton Karma Copper Printed T-shirt - Grey","M","0401138M",1,17.5,0,0,17.5,0,17.5
"Unisex Blue Adiyogi Printed Full Sleeve T-Shirt","L","0401176L",1,17.5,0,0,17.5,0,17.5
"Unisex Cotton Hatha Yoga Printed T-shirt - Ecru","S","0401152S",1,17.5,0,0,17.5,0,17.5
"Melange T Shirt Moon Rose with Copper","M","0401133M",1,17.5,0,0,17.5,0,17.5
"Unisex Cotton Karma Copper Printed T-shirt - Grey","L","0401138L",1,17.5,0,0,17.5,0,17.5
"Melange Unisex Cotton That Which is Not Printed T-shirt - Olive","L","0401148L",1,17.5,0,0,17.5,0,17.5
"Bloom Refreshing & Age Defence Shower Gel With Acai Berry Fruit Extract (All Skin Types) - 200ml","Default Title","0116067",1,35,0,-17.5,17.5,0,17.5
"Unisex Cotton Hatha Yoga Printed T-shirt - Ecru","L","0401152L",1,17.5,0,0,17.5,0,17.5
"Unisex Cotton Anand Copper Printed T-shirt - Olive","XL","0401135XL",1,17.5,0,0,17.5,0,17.5
"Unisex Cotton Ultimate Outlaw Printed T-shirt - Peach","XL","0401149XL",1,17.5,0,0,17.5,0,17.5
"Samyama Unisex Organic Cotton Sadhana Half-Sleeve T-Shirt - Orange","Small","0401161S",1,51,0,-34,17,0,17
"Unisex Save Soil Print Short Sleeve Organic Cotton Olive Green T-Shirt","M","CA0078100300",1,15,0,0,15,0,15
"Unisex Nandi Printed Organic Cotton T-Shirt - Off White","L","0401165 L",1,15,0,0,15,0,15
"Sukku Banam Coffee (Caffeine-free), 75 gm","Default Title","8908005905486",3,15,0,0,15,0,15
"Mystic Moon Copper Cuff Bracelet. A festive gift.","Default Title","0113889",1,14,0,0,14,0,14
"Bloom 24 Hours Skin Hydrating Organic Lotion With Mulberry Extract (Oily Skin) - 100ml","Default Title","0116069",1,25,0,-12.5,12.5,0,12.5
"Of Mystics and Mistakes","Default Title","9788184953084",1,24,0,-12,12,0,12
"Unisex Save Soil Long Sleeve T-Shirt","L","040112_LS_L",1,12,0,0,12,0,12
"Linga Bhairavi with Bangles Photo Black (8x12)","Default Title","0111317",1,12,0,0,12,0,12
"Unisex 7 steps IE T-Shirt Chinese","S","CA0141100200",1,10,0,0,10,0,10
"Indian Experience Towel - Small","Default Title","0402046",2,10,0,0,10,0,10
"Mystic Moon Key Chain","Default Title","0601073",2,10,0,0,10,0,10
"Unisex IE 7 Step T-shirt","XXL","CA0118700600",1,15,-5,0,10,0,10
"Adiyogi Fridge Magnet","Default Title","0106543",2,10,0,0,10,0,10
"Gel Magnets Design 1 - Sadhguru Quote 1","Default Title","0106510",1,10,0,0,10,0,10
"Copper Earring - Style 2","Default Title","0113503",1,10,0,0,10,0,10
"Unisex Save Soil Short Sleeve T-Shirt","M","040112_SS_M",1,9,0,0,9,0,9
"Thayir Sundi Capsule (Gastric Relief), 20 pcs","Default Title","8905795000919",2,28,0,-20,8,0,8
"Natural Homam (Havan) Incense, 5 Sticks","Default Title","0110216",2,8,0,0,8,0,8
"Luggage Tag - Surya Namaskar","Default Title","0106509",1,7,0,0,7,0,7
"Luggage Tag - Yoga","Default Title","0106513",1,7,0,0,7,0,7
"Unisex 7 steps IE T-Shirt Chinese","XL","CA0141100500",1,10,-4.69,0,5.31,0,5.31
"Coco shell mobile holder","Default Title",,1,5,0,0,5,0,5
"Printed Organic Cotton Bag (Play)","Default Title","0101474",1,4,0,0,4,0,4
"Adiyogi Key Chain","Default Title","0106536",1,3,0,0,3,0,3
"Aum Namah Shivaya Magnet","Default Title","0106544",1,3,0,0,3,0,3
"Thaai Mann - Consecrated Bhoomi for Sadhana Support","Default Title","0111286",-4,0,0,-20,-20,0,-20
"Samyama Mens Organic Cotton Sadhana Kurta - White","Medium","0201119M",-2,71.13,0,-118.55,-47.42,0,-47.42
"Samyama Mens Organic Cotton Sadhana Kurta - White","Small","0201119S",-5,0,0,-125,-125,0,-125
